THỜI KHÓA BIỂU DỰ KIẾN KỲ 20251 - CẬP NHẬT NGÀY 12.09.2025,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Min,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20251,TDDT,163663,163663,AC2010,Kỹ thuật lập trình,Programming Techniques,2(2-1-0-4),Công nghệ giáo dục (nhóm 1)-K69S,1,2,0920-1145,4,6,Sáng,"2-9,11-19",C7-128,NULL,59,50,60,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163664,163664,AC2010,Kỹ thuật lập trình,Programming Techniques,2(2-1-0-4),Công nghệ giáo dục (nhóm 2)-K69S,1,2,0645-0910,1,3,Sáng,"2-9,11-19",C7-128,NULL,48,37,60,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163669,163669,AC2020,"Đồ họa hình động 2D, 3D",Computer Graphic in 2D and 3D images,3(3-1-0-6),Công nghệ giáo dục (nhóm 1)-K69S,1,4,0645-1005,1,4,Sáng,"2-9,11-19",C7-111,NULL,53,43,60,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163670,163670,AC2020,"Đồ họa hình động 2D, 3D",Computer Graphic in 2D and 3D images,3(3-1-0-6),Công nghệ giáo dục (nhóm 2)-K69S,1,3,0645-1005,1,4,Sáng,"2-9,11-19",C7-128,NULL,55,50,60,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163671,163671,AC2040,Cơ sở dữ liệu,Database,2(2-1-0-4),Công nghệ giáo dục (nhóm 1)-K69S,1,6,0645-0910,1,3,Sáng,"2-9,11-19",D9-203,NULL,60,46,70,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163672,163672,AC2040,Cơ sở dữ liệu,Database,2(2-1-0-4),Công nghệ giáo dục (nhóm 2)-K69S,1,6,0920-1145,4,6,Sáng,"2-9,11-19",D9-204,NULL,69,60,70,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,161977,161977,AC2040E,Cở sở dữ liệu,Databases,2(2-1-0-4),**CTTT Đa phương tiện-K69C,1,5,1230-1455,1,3,Chiều,"2-9,11-19",C7-205,NULL,40,30,40,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,TDDT,163673,163673,AC2050,Cấu trúc dữ liệu và giải thuật,Data Structure and Algorithm,2(2-1-0-4),Công nghệ giáo dục (nhóm 1)-K69S,1,6,0920-1145,4,6,Sáng,"2-9,11-19",D9-203,NULL,51,44,65,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163674,163674,AC2050,Cấu trúc dữ liệu và giải thuật,Data Structure and Algorithm,2(2-1-0-4),Công nghệ giáo dục (nhóm 2)-K69S,1,6,0645-0910,1,3,Sáng,"2-9,11-19",D9-204,NULL,41,34,65,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,165681,165681,AC2050,Cấu trúc dữ liệu và giải thuật,Data Structure and Algorithm,2(2-1-0-4),PFIEV-Tin học công nghiệp-K68S,1,6,0920-1145,4,6,Sáng,"2-9,11-19",D9-504,NULL,16,NULL,45,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,TDDT,163683,163683,AC3010,Phân tích và thiết kế hệ thống,System Analysis and Design,2(2-1-0-4),Công nghệ giáo dục 01-K68C,1,2,1505-1730,4,6,Chiều,"2-9,11-19",D9-104,NULL,54,43,55,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163684,163684,AC3010,Phân tích và thiết kế hệ thống,System Analysis and Design,2(2-1-0-4),Công nghệ giáo dục 02-K68C,1,2,1230-1455,1,3,Chiều,"2-9,11-19",D9-203,NULL,37,NULL,55,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163681,163681,AC3020,Trò chơi số và tương tác II,Digital Games and Interaction II,2(2-1-0-4),Công nghệ giáo dục 01-K68C,1,2,1230-1455,1,3,Chiều,"2-9,11-19",D9-104,NULL,55,47,55,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163682,163682,AC3020,Trò chơi số và tương tác II,Digital Games and Interaction II,2(2-1-0-4),Công nghệ giáo dục 02-K68C,1,2,1505-1730,4,6,Chiều,"2-9,11-19",D9-203,NULL,38,NULL,55,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,161838,161838,AC3110E,Xử lý ngôn ngữ tự nhiên,Natural Language Processing,2(2-1-0-4),**CTTT-Đa phương tiện-K68S,1,4,0920-1145,4,6,Sáng,"2-9,11-19",D8-406,NULL,66,55,70,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,TDDT,161840,161840,AC3120E,Học máy cơ bản,Fundementals of Machine learning,3(3-1-0-6),**CTTT-Đa phương tiện-K68S,1,6,0645-1005,1,4,Sáng,"2-9,11-19",D8-403,NULL,49,39,70,Kết thúc ĐK,LT+BT,AB,ELITECH,
20251,TDDT,163699,163699,AC4010,Thực tại ảo,Virtual Reality,2(2-1-0-4),Công nghệ giáo dục-Multimedia-K67S,1,5,0645-0910,1,3,Sáng,"2-9,11-19",C7-133,NULL,16,NULL,22,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
20251,TDDT,163700,163700,AC4020,Thực tại tăng cường,Augmented Reality,2(2-1-0-4),Công nghệ giáo dục-Multimedia-K67S,1,5,0920-1145,4,6,Sáng,"2-9,11-19",C7-133,NULL,15,NULL,22,Kết thúc ĐK,LT+BT,AB,CT CHUẨN,
