THỜI KHÓA BIỂU DỰ KIẾN KỲ 20252 - CẬP NHẬT NGÀY 23.02.2026,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
Kỳ,Trường_Viện_Khoa,Mã_lớp,Mã_lớp_kèm,Mã_HP,Tên_HP,Tên_HP_Tiếng_Anh,Khối_lượng,Ghi_chú,Buổi_số,Thứ,Thời_gian,BĐ,KT,Kíp,Tuần,Phòng,Cần_TN,SLĐK,SL_Max,Trạng_thái,Loại_lớp,Đợt_mở,Mã_QL,TeachingType
20252,TDDT,169991,169991,AC2030,Khai thác thông tin đa phương tiện,Multimedia Information Processing,2(2-1-0-4),CN giáo dục - nhóm 1-K69S,1,6,0645-0910,1,3,Sáng,"25-32,34-42",D9-503,NULL,36,50,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,169991,169991,AC2030,Khai thác thông tin đa phương tiện,Multimedia Information Processing,2(2-1-0-4),CN giáo dục - nhóm 1-K69S,1,6,0645-0910,1,3,Sáng,"25-32,34-42",D9-503,NULL,36,50,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,169992,169992,AC2030,Khai thác thông tin đa phương tiện,Multimedia Information Processing,2(2-1-0-4),CN giáo dục - nhóm 2-K69S,1,6,0920-1145,4,6,Sáng,"25-32,34-42",D9-504,NULL,50,50,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,168228,168228,AC2040E,Cở sở dữ liệu,Databases,2(2-1-0-4),**CTTT-Đa phương tiện-K69C,1,6,1505-1730,4,6,Chiều,"25-32,34-42",D8-302,NULL,36,55,Điều chỉnh ĐK,LT+BT,AB,ELITECH,
20252,TDDT,170001,170001,AC2050,Cấu trúc dữ liệu và giải thuật,Data Structure and Algorithm,2(2-1-0-4),CN giáo dục-K69S,1,5,0920-1145,4,6,Sáng,"25-32,34-42",D3-105,NULL,45,45,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,169993,169993,AC2060,Nhập môn trí tuệ nhân tạo,Introduction to Artificial Intelligence,2(2-1-0-4),CN giáo dục - nhóm 1-K69S,1,6,0920-1145,4,6,Sáng,"25-32,34-42",D9-503,NULL,51,55,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,169994,169994,AC2060,Nhập môn trí tuệ nhân tạo,Introduction to Artificial Intelligence,2(2-1-0-4),CN giáo dục - nhóm 2-K69S,1,6,0645-0910,1,3,Sáng,"25-32,34-42",D9-504,NULL,46,55,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,169995,169995,AC2070,Thiết kế và lập trình web,Web Design and Progamming,3(3-0-1-6),CN giáo dục - nhóm 1-K69S,1,3,0645-0910,1,3,Sáng,"25-32,34-42",D9-503,TN,56,55,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,169996,169996,AC2070,Thiết kế và lập trình web,Web Design and Progamming,3(3-0-1-6),CN giáo dục - nhóm 2-K69S,1,3,0920-1145,4,6,Sáng,"25-32,34-42",D9-504,TN,27,55,Điều chỉnh ĐK,LT+BT,AB,CT CHUẨN,
20252,TDDT,765511,765511,AC2070,Thiết kế và lập trình web,Web Design and Progamming,3(3-0-1-6),AC_01,1,2,1245-1445,1245,1445,Chiều,"29,35,37",D8-1004,NULL,1,12,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,TDDT,765512,765512,AC2070,Thiết kế và lập trình web,Web Design and Progamming,3(3-0-1-6),AC_02,1,3,1245-1445,1245,1445,Chiều,"29,35,37",D8-1004,NULL,13,12,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,TDDT,765513,765513,AC2070,Thiết kế và lập trình web,Web Design and Progamming,3(3-0-1-6),AC_03,1,4,1245-1445,1245,1445,Chiều,"29,35,37",D8-1004,NULL,12,12,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,TDDT,765514,765514,AC2070,Thiết kế và lập trình web,Web Design and Progamming,3(3-0-1-6),AC_04,1,5,1245-1445,1245,1445,Chiều,"29,35,37",D8-1004,NULL,NULL,12,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,TDDT,765515,765515,AC2070,Thiết kế và lập trình web,Web Design and Progamming,3(3-0-1-6),AC_05,1,6,1245-1445,1245,1445,Chiều,"29,35,37",D8-1004,NULL,12,12,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,TDDT,765516,765516,AC2070,Thiết kế và lập trình web,Web Design and Progamming,3(3-0-1-6),AC_06,1,2,1500-1700,1500,1700,Chiều,"29,35,37",D8-1004,NULL,7,12,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
20252,TDDT,765517,765517,AC2070,Thiết kế và lập trình web,Web Design and Progamming,3(3-0-1-6),AC_07,1,3,1500-1700,1500,1700,Chiều,"29,35,37",D8-1004,NULL,12,12,Điều chỉnh ĐK,TN,AB,CT CHUẨN,
