code,name,duration,credits,tuition_credits,department,prerequisite,english_name,weight
1DL242,Advanced Software Design,,3,0,PDTDH,,Advanced Software Design,1
1DL330,Functional Programming I,,3,0,PDTDH,,Functional Programming I,1
1DL340,Artificial Intelligence,,3,0,PDTDH,,Artificial Intelligence,1
1DL350,E-commerce Project,,6,0,PDTDH,,E-commerce Project,1
1DL360,Data Mining I,,3,0,PDTDH,,Data Mining I,1
1DL450,Advanced Functional Programming,,3,0,PDTDH,,Advanced Functional Programming,1
1DL610,Software Testing,,3,0,PDTDH,,Software Testing,1
1DL620,Platform-Spanning Systems,,3,0,PDTDH,,Platform-Spanning Systems,1
1DT063,Real Time Systems I,,3,0,PDTDH,,Real Time Systems I,1
1DT072,Secure Computer Systems I,,3,0,PDTDH,,Secure Computer Systems I,1
1DT075,Cryptology,,3,0,PDTDH,,Cryptology,1
1DT340,Degree Project C in Computer Science,,8,0,PDTDH,,Degree Project C in Computer Science,1
1TD265,Applied Cloud Computing,,6,0,PDTDH,,Applied Cloud Computing,1
AC2010,Kỹ thuật lập trình,2(2-1-0-4),2,3,TDDT,IT1110,Programming Techniques,0.7
AC2020,"Đồ họa hình động 2D, 3D",3(3-1-0-6),3,4,TDDT,,Computer Graphic in 2D and 3D images,0.7
AC2030,Khai thác thông tin đa phương tiện,2(2-1-0-4),2,3,TDDT,"AC2040,AC2050,AC2010",Multimedia Information Processing,0.7
AC2040,Cơ sở dữ liệu,2(2-1-0-4),2,3,TDDT,,Database,0.7
AC2040E,Cở sở dữ liệu,2(2-1-0-4),2,3,TDDT,,Databases,0.7
AC2050,Cấu trúc dữ liệu và giải thuật,2(2-1-0-4),2,3,TDDT,,Data Structure and Algorithm,0.7
AC2060,Nhập môn trí tuệ nhân tạo,2(2-1-0-4),2,3,TDDT,AC2010,Introduction to Artificial Intelligence,0.7
AC2070,Thiết kế và lập trình web,3(3-0-1-6),3,4.5,TDDT,"AC2040,AC2010",Web Design and Progamming,0.7
AC2080,Trò chơi số và tương tác I,2(2-1-0-4),2,3,TDDT,"AC2050,AC2010",Digital Games and Interaction I,0.7
AC3010,Phân tích và thiết kế hệ thống,2(2-1-0-4),2,3,TDDT,,System Analysis and Design,0.7
AC3010E,Phân tích và thiết kế hệ thống,2(2-1-0-4),2,3,TDDT,,System analysis and design,0.7
AC3020,Trò chơi số và tương tác II,2(2-1-0-4),2,3,TDDT,"AC2080,AC2020",Digital Games and Interaction II,0.7
AC3030,Phát triển ứng dụng,2(2-1-0-4),2,3,TDDT,"AC2010,AC3010",Application Development,0.7
AC3040,Lập trình di động,2(2-1-0-4),2,3,TDDT,AC2070,Mobile Programming,0.7
AC3110E,Xử lý ngôn ngữ tự nhiên,2(2-1-0-4),2,3,TDDT,,Natural Language Processing,0.7
AC3120E,Học máy cơ bản,3(3-1-0-6),3,4,TDDT,"MI2036,ET2101E",Fundementals of Machine learning,0.7
AC4010,Thực tại ảo,2(2-1-0-4),2,3,TDDT,"AC2020,AC2030",Virtual Reality,0.7
AC4020,Thực tại tăng cường,2(2-1-0-4),2,3,TDDT,"AC2020,AC2030",Augmented Reality,0.7
AC4110E,Phân tích và trực quan hóa dữ liệu,2(2-1-0-4),2,3,TDDT,,Data analysis and visualization,0.7
AC4120E,Kỹ xảo điện ảnh,2(2-1-0-4),2,3,TDDT,,Visual Effects,0.7
AC4130E,Lập trình game,2(2-1-0-4),2,3,TDDT,,Game Programming,0.7
AC4140E,Lập trình web và ứng dụng di động,3(3-0-1-6),3,4.5,TDDT,"ET2031E,AC2040E",Web and mobile application,0.7
AC4150E,Tương tác người - máy,2(2-1-0-4),2,3,TDDT,,Human machine interaction,0.7
ACT291,Kế toán đại cương I,3(3-1-0-0),3,5.5,SIE,,Introduction to Accounting,0.7
ART1133,Visual Art,,2,,SIE,,Visual Art,0.7
BEE2020,Lý thuyết mạch điện I,4(3-1-1-8),4,5.5,VDTLT,,Electrical Circuit Theory I,0.7
BEE2030,Trường điện từ,2(2-0-0-4),2,2,VDTLT,,Electromagnetic Fields,0.7
BEE2110,Điện tử tương tự,3(3-0-1-6),3,4.5,VDTLT,,Analog Electronics,0.7
BEE2120,Lý thuyết mạch điện II,2(2-0-1-4),2,3.5,VDTLT,,Electrical Circuit Theory II,0.7
BEE2130,Thiết kế hệ thống số,3(3-0-1-6),3,4.5,VDTLT,,Digital System Design,0.7
BEE3110,Kỹ thuật đo lường,3(3-0-1-6),3,4.5,VDTLT,EE2110/EE3051/EE3052/EE2111,Measurement and Instrumentation Principles,0.7
BEE3140,Máy điện I,3(3-0-1-6),3,4.5,VDTLT,,Electrical Machines I,0.7
BEE3280,Lý thuyết điều khiển I,3(3-1-0-6),3,4,VDTLT,,Control Theory I,0.5
BEE3410,Điện tử công suất,3(3-0-1-6),3,4.5,VDTLT,,Power Electronics,0.7
BEE3420,Hệ thống cung cấp điện,4(3-1-1-8),4,5.5,VDTLT,,Power Supply Systems,0.7
BEE3425,Hệ thống cung cấp điện,3(3-1-0-6),3,4,VDTLT,,Power Supply Systems,0.7
BEE3480,Vi xử lý,3(3-0-1-6),3,4.5,VDTLT,,Microprocessors,0.7
BEE3490,Kỹ thuật lập trình,3(2-2-0-6),3,4,VDTLT,,Programming Techniques,0.7
BEE3510,Truyền động điện,3(3-0-1-6),3,4.5,VDTLT,,Electrical Drives,0.7
BEE3550,Điều khiển quá trình,3(3-1-0-6),3,4,VDTLT,,Process Control,0.7
BEE3600,Hệ thống đo và điều khiển CN,3(3-0-1-6),3,4.5,VDTLT,,Industrial Measurement and Control Systems,0.7
BEE3810,Đồ án I,2(0-0-4-8),2,4,VDTLT,,Project I,0.7
BEE4010,Lưới điện,3(3-1-0-6),3,4,VDTLT,,Electrical Power Networks,0.7
BEE4020,Ngắn mạch trong HTĐ,3(3-1-0-6),3,4,VDTLT,,Short Circuit Analysis,0.7
